"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,6,6,7,9,10.0249999999996,13
3,0,0,1,2,2,3,3,3,4,4,5,5,5,6,6,7,7,8,9,10,12,14,17
4,1,1,2,3,4,4,5,6,6,7,7,8,8,9,9,10,11,12,13,14,16,18,21
5,2,3,4,6,7,7,8,9,10,10,11,11,12,13,13,14,15,16,17,19,21.0500000000002,24,27
6,5,6,7,9,10,11,12,13,14,15,15,16,17,18,19,20,21,22,23,25,28,31,35
7,8,10,12,14,15,17,18,19,20,21,21,22,23,24,25,26,28,29,31,33,37,40,44
8,13,15,17,20,21,23,24,25,26,27,28,29,30,32,33,34,35,37,39,41,45,49,54
9,18,21,23,27,28,30,32,33,34,35,37,38,39,40,41,43,44,46,48,51,55,59,64
10,25,28,31,34,36,38,40,42,43,44,46,47,48,50,51,53,54,56,59,62,67,71,76.0100000000002
11,30.99,34,38,41,44,46,48,50,51,53,54,55,57,58,60,62,63,66,68,71,76,81,86
12,38,41.975,45,49,52,54,56,58,60,61,63,64,66,67,69,71,73,75,78,81,86,91,98
13,43,47,51,55,58,60,63,64,66,68,69,71,73,74,76,78,80,82,85,89,94,99,106
14,46,50,54,58,62,64,67,68,70,72,74,75,77,79,80,82,84,87,89,93,99,104,109
15,46,51,55,60,63,65,67,69,71,73,74,76,78,80,82,83.3000000000002,85,88,91,95,100,105.025,111
16,46,50,54,58,61,64,66,68,69,71,73,74,76,78,79,82,84,86,89,93,99,105,110.01
17,43,47,50,54,57,59,61.75,63,65,67,68,70,71,73,75,77,79,81,84,87,93,99,105
18,37,41,45,49,52,54,56,58,59,61,62,64,65,67,68,70,72,74,77,81,86,91,97
19,32,35,39,43,45,47,49,50,52,53,55,56,58,59,61,62,64,66,69,72,77,83,89
20,26,29.975,32,36,38,39.8,41,43,44,45,47,48,49,51,52,54,55.25,58,60,63,67,72,79
21,20,23,26,29,31,33,34,36,37,38,39,40,42,43,44,46,47,49,51,54,58,62,68
22,16,18,20,23,25,26,28,29,30,31,32,33,34,36,37,38,40,41,43,46,50,54,57
23,11,13,15,18,19,21,22,23,24,25,26,27,28,29,30,31,33,34,36,38,42,46,50
24,8,10,11,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,36,39,44
25,5,7,8,10,11,12,13,14,15,16,16,17,18,19,20,21,22,23,25,27,30,33,37
26,3,4,6,7,8,9,10,11,11,12,13,13,14,15,16,17,18,19,20,22,25,28,32
27,2,3,4,5,6,7,7,8,9,9,10,10,11,12,12,13,14,15,16,18,20,23,26
28,1,2,2,3,4,5,6,6,7,7,8,8,9,9,10,11,11,12,13,15,17,20,23
29,0,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,10,11,12,14,17,19
