"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,4,6,8,10.0249999999996,14
3,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5,5,6,8,11,13,17
4,0,0,0,0,1,1,1,2,2,3,3,3,4,4,5,6,6,7,9,10,13,16,20
5,0,0,0,1,1,2,3,3,4,4,5,5,6,7,7,8,9,10,11,13,16,19,23
6,0,1,1,2,3,4,5,5,6,7,7,8,9,10,10,11,12,14,15,18,21,25,30
7,1,2,3,5,6,7,8,8,9,10,11,12,13,14,15,16,17,19,21,23,28,32,37
8,3,4,6,8,9,10,12,13,14,15,16,17,18,19,20,22,23,25,27,30,35,40,45
9,6,8,10,12,14,16,17,19,20,21,23,24,25,27,28,30,31,33,36,39,44,49,55
10,10,13,15,19,21,23,25,27,28,30,31,33,34,36,38,39,41,44,47,50,56,63,70
11,16,20,23,27,30,32,34,36,38,40,42,44,45,47,49,51,54,56,60,64,71,77,87
12,24,28,32,37,40,43,46,48,50,52,54,56,58,59,62,64,67,70,74,79,87,93,101
13,31,37,41,47,51,53,56,59,61,64,66,68,70,72,75,78,81,84,88,93,103,111,121
14,39,45,50,56,60,64,66,69,72,74,76,79,81,84,86,89,93,97,101,106,116,123,133.01
15,44,51,56,63,67,70,74,77,79,82,84,87,89,92,94,97,100,105,109,115,126,133,145
16,46,52.975,58,65,69,73,76,78,81,84,86,89,91,94,97,100,103,107,112,118,127.05,136,146
17,45,51,56,62,66,70,73,76,78,80,83,85,88,90,93,96,99,103,107,113,121,129.025,141
18,38.99,43,48,54,58,61,64,67,69,71,74,76,78,81,83,87,90,94,98,105,113,121,132.01
19,30,35,39,44,48,51,53,56,58,60,62,64,67,69,72,74,77,81,85,90,98,106,117
20,22,26,29,34,37,40,42,44,46,48,50,52,54,57,59,61,64,67,70,75,82,89.0249999999996,99
21,14,18,21,25,27,30,32,34,35,37,39,40,42,44,46,48,51,53,57,62,68,74,83
22,9,12,14,17,19,21,23,24,26,27,29,30,32,33,35,37,39,41,44,48,54,60,67
23,4,6,8,11,13,14,16,17,18,20,21,22,23,25,26,28,29,32,34,37,43,48,55
24,2,4,5,7,8,9,10,11,12,14,15,16,17,18,19,20,22,24,26,29,34,38,45
25,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,19,22,27,31,37
26,0,0,1,2,3,3,4,5,5,6,7,7,8,9,9,10,12,13,14,16,20,23,28
27,0,0,0,1,1,2,2,3,3,4,4,5,5,6,7,7,8,9,11,13,16,19,23.0100000000002
28,0,0,0,0,0,1,1,1,2,2,3,3,3,4,5,5,6,7,8,10,13,16,19
29,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,5,6,8,10,13,17
