"flag1","model","method1","dist1","AICc","numparams","collinearity","identifiable","r","p","a","K","alpha"
4,"RICH",0,0,226.860391435814,4,6.86921776714638,TRUE,0.541618312025482,1,0.440950919230495,1067.31388444436,0
1,"GLM",0,0,228.916685655914,4,8.63180184686819,TRUE,0.754328557396922,0.84610180757356,1,1063.57066385191,0
2,"GRM",0,0,229.802420425563,5,77.6401176967654,FALSE,0.541617455890926,1,0.44095224832852,1067.31469415767,0
3,"LM",0,0,247.930141545717,3,2.17955803656685,TRUE,0.380621234787056,1,1,897.430618216737,0
5,"GOM",0,0,249.272476554545,3,15.8623967647114,TRUE,8.02208208060449,1,0.144396428591583,1,0
0,"GGM",0,0,292.025528897865,3,8.38621903229553,TRUE,16.3080471221229,0.138169494911608,1,0,0
-1,"EXP",0,0,672.211215429812,2,NA,NA,14.8148796841886,1,1,0,0
