i_th doubling,db mean,db 95%CI LB,db 95% CI UB,prob. i_th doubling
1,0.897466666666667,0.63,1.06,1
2,1.03716666666667,0.83,1.16,1
3,1.14916666666667,0.98,1.28,1
4,1.2824,1.13,1.46,1
5,1.46266666666667,1.33,1.54,1
6,1.6081,1.51,1.72,1
7,1.8165,1.73,1.89,1
8,2.03803333333333,1.94,2.13,1
9,2.30963333333333,2.18,2.46,1
10,2.67316666666667,2.53,2.9,1
11,3.25343333333333,3.05,3.52,1
12,4.68316666666667,4.35,5.1,1
