"flag1","model","method1","dist1","AICc","numparams","collinearity","identifiable","r","p","a","K","alpha"
4,"RICH",0,0,450.820659860631,4,3.15075352681877,TRUE,0.421728183217133,1,0.695656594903161,6866.29672854582,0
2,"GRM",0,0,453.462371090281,5,18.693505273684,TRUE,0.42172819423307,1,0.695656449371077,6866.29751349499,0
1,"GLM",0,0,455.952160884382,4,5.98348563998785,TRUE,0.528474829820732,0.935372679149225,1,7210.73033906808,0
3,"LM",0,0,461.440857592364,3,2.07898630958348,TRUE,0.390887392887194,1,1,6195.65465064115,0
5,"GOM",0,0,515.529184343673,3,7.11548193700225,TRUE,1.33995138695912,1,0.106482868121659,1,0
0,"GGM",0,0,547.586662438889,3,7.71024680608598,TRUE,17.011812762947,0.315647791110421,1,0,0
-1,"EXP",0,0,580.957149804235,2,NA,NA,0.0475,1,1,0,0
