"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,49
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,43
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,62.0200000000004
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,66.0400000000009
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.02499999999964,66.0300000000007
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,53.0100000000002
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,60.0100000000002
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,95.0700000000015
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,51.0100000000002
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,58.0200000000004
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0249999999996,64.0200000000004
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,47
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,81
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27.0249999999996,96.0100000000002
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34.0249999999996,101.01
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,43.0249999999996,135.01
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,63,175
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,33.0500000000002,91,197.030000000001
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,46,118,230.030000000001
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,21,72,142,262.01
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,28,82.0500000000002,149.025,274.01
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,17,38,103,190,329.01
24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,15,30,61,131.05,235.074999999999,401.01
25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,12,22,42,81,168.05,289.049999999999,427
26,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,13,21,35,57,100.1,183.05,295.025,476
27,0,0,0,0,0,0,0,0,0,1,2,3,5,8,13,21,32,50,78,127,226,346.025,525.060000000001
28,0,0,0,0,0,0,0,0,1,2,4,7,10,16,24,34,49,71,102.15,148,251,359.049999999999,542.080000000002
29,0,0,0,0,0,0,1,2,4,6,10,15,22,30,41,56,75.25,101,138,204.1,322,469.025,679.01
30,0,0,0,0,0,1,2,4,7,11,15,22,31,42,56,73,96,126,170,236.1,363,502.074999999999,726.070000000002
31,0,0,0,0,2,3,6,10,14,20,27,36,47,59,76,96,120,154,201,271.1,411.05,547.049999999999,714.02
32,0,0,0,1,3,7,11,17,24,32,42,53,67,83,103,127,156,197.2,249.15,327,455.05,637.025,849.01
33,0,0,1,4,8,14,21,29,39,49,62,76,95,112.4,136,163.3,199,245,303,383,517.05,676.025,932.030000000001
34,0,1,4,10,18,27,38,50,63,80,97,114.5,134,156,184,215,251.25,299,362,462,623.05,806.049999999999,1074.04
35,1,3,8,19,31,44,58,74,90.6500000000001,108,130,153,177,203,233,271,318,370,436.15,529,712.1,913.074999999999,1199
36,3,8,17,32,51,70,88,108.7,131,152,174,199.5,227,259,293,333,382,446.2,528,639.1,812,1003.1,1277.05
37,8.99,20.975,34.95,61,84,105,131,154,178,205,237,265,296,330,371,418.3,472,533,611,729.200000000001,935.05,1138.025,1400
38,19,34,55.95,88,119,149,182,212,243,275.6,309,344,381.45,421,463,513,572,642,743,876,1067.1,1257,1545.07
39,39,63.975,97,144,184,220,258,295,331,366,400,441,487,536,592,656,718,802,910,1044,1274.05,1513,1782.11
40,55,92,129.95,198,250.85,295,339,380,425.65,467.6,511,553,606,661,716.35,785,859,947.2,1073,1236.1,1521,1791.075,2101.04
