"forecast_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,89,134,187.95,253,307,358.8,414,463,512.65,559,609.55,660,711,765,827.35,889,970,1069.2,1184.15,1341.2,1608,1881,2170.01
2,136.99,188,253,338,406,466,520.75,577,635,684,737.55,792,849,915,989,1066.3,1163,1253.2,1385.15,1552.1,1857.1,2107.05,2501.09
