"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,10,20
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,10,17,26
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,6,8,14,21,32
5,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,7,9,13,20,28,40.0100000000002
6,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7,9,11,15,19,28,39,53
7,0,0,0,0,1,1,2,2,3,4,5,6,7,9,10,12,15,18,21,27,37,48,62
8,0,0,0,1,2,3,5,6,7,8,10,11,13,15,17,19,22,26,30,37,50,64,81
9,0,1,2,4,6,7,9,11,12,14,16,18,20,23,26,28,32,36,42,49,62,76,97
10,2,3,5,9,11,13,16,18,20,23,25,28,31,34,37,40,44,49,56,64,79,94,118.01
11,5,8,11,16,20,23,26,29,32,35,38,41,44,48,52,56,61,67,74,84,102,120,142.01
12,11,15,20,27,32,36,40,44,47,50,54,57,61,66,70,74,81,88,96,108,128,150.025,179.02
13,22,27,33,41,47,52,57,61,66,70,74,78,83,88,93,99,106,114,123,137,158,177,209
14,33,42,50,60,68,74,79,85,90,94,99,104,109,115,120.35,127,135,143,153,167,195,219,256.01
15,51,62,73,85,93,101,108,114,120,126,131,137,143,149,155,163,171,182,193,209,240,264,295.01
16,76,87.975,99,115,125,134,142,149,155,162,168,174,180,187,196,204,213,224,237,254,283,312,348.01
17,101,118,132,149,161,170,178,187,194,201,208,216,223,231,238,248,258,270,285,304,336,366,412
18,133,153,170,189,202,213,222,231,240,247,255,262.5,270,279,288,298,308,321,337,357,388,418,460
19,166,188,209,229,244,257,268,278,286,295,304,312,320,330,338,349,361,374,390,411.1,446,482.025,525.01
20,199,222,243,267,284,298,311,322,332,342,351,360,370,379,389,401,413,425,441,465,498,532.025,575
21,225,251,276,303,321,338,350,361,371,381.6,391,402,412,422,433,444,456,471,489,512,550,584.025,632.01
22,245.99,276,302,330,351,365,378,391,401,412,422,432.5,443.45,455,466,479,491,507,525,551,588,617,671
23,255.99,288.975,316,347,368,384,398,409,421,432,443,454,465,476,488,501,513,531,550.15,577,618,654,698.01
24,259,294,322,353,375,391,405,417,430,441,452,463.5,474,486,498,509.3,524,541,560,583.1,625,662.025,709
25,255,285,312,345,366,385,400,412,423,434,444,454,466,477,489,503,517,533,551,575,613,648,693.01
26,243.99,274,300,330,351,366,379,392,403,414,425,437,448,460,471,483,496,510,528,551,590,626.025,667.01
27,229,255,277,306,326,342,353,365,375.65,386,396,406,416,427,438,449,461,476,494,518,557.05,592,637.01
28,198.99,225.975,247,272,290,305,318,328,339,349,357,367,376,386,397,408,421,434,452,475,510,540.025,575.02
29,173,195,214,239,254,268,279,290,299,309,317,327,336,344,354,364,375.25,389,405,426,462,492,535.01
30,147,168,185,204.9,220,230,240,249,258,267,276,283,292,301,310,319,329,342,355,376,409,437.025,480
31,113,132,147.95,168,181,192,202,210,218,226,233,241,249,257,265,276,286,297,312,330.1,360.05,388.025,424
32,94,109,122,139,151,160,168,176,183,189,196,203,210,217,226,235,245,257,271,288,319,348.025,381
33,69.99,83,95,110,119.85,129,136,143,149,156,162,168,175,182,189,197,206,217,230,247,277,303,341.02
34,54,63,73.95,87,95,102,109,115,121,127,132,138,144,150,156,165,173,183,195,212,240,269.025,303.01
35,36,45.975,55,66,74,80,86,91,96,101,107,112,117,123,130,136,145,153,165,181,206.05,230,273
36,24.99,32,40,49,56,62,66,71,76,80,85,90,95,99,105,111,118,126,138,152,176,199,235
37,17,23,29,37,41,46,52,56,60,64,69,73,77,82,87,92,99,106,115,127,150.05,171,204.01
38,11,15,20,25,31,35,39,43,46,50,53,57,61,65,70,74.3000000000002,80,87,96,108,127,149,177.01
39,6,9,13,18,23,26,29,32,35,38,41,45,48,52,57,61,66,72,81,92,110,126.025,152
40,3,6,9,13,16,19,21,24,27,29,32,34,38,41,44,48,52,58,66,77,95,114,140
