"forecast_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,102.99,155.975,214,289,353,407,456,504.7,552.65,603,654,709,760,821,889.35,964,1046.25,1142,1271.15,1439.3,1715.1,1967.1,2335.1
2,156.99,235,297,398,474,539,594,656,716,779,837,899,964,1037,1120.35,1201,1289,1397.4,1533,1710,2005,2274.025,2626.02
