time,data,median,LB,UB
16,5,5,5,5
17,1,3,0,9
18,11,5,1,12
19,8,8,2,16
20,13,11,4,21
21,11,16,7,28
22,14,22,11,35
23,27,29,17,45
24,41,37,23,54
25,40,46,30,65
26,65,55,37,76
27,85,64,45,85
28,85,71,50,93
29,61,75,54,98
30,82,76.5,55,101
31,63,75,53,98
32,77,70,49,94
33,46,64,44,85
34,49,56,37,76
35,54,47,31,66
36,46,39,25.5,57
37,46,32,19,48
38,22,26,14,40
39,25,20,10,34
40,18,16,7,29
41,16,13,5,23
42,11,10,3,19
43,3,8,2,16
44,6,6,1,14
45,3,4,0,12
