"flag1","model","method1","dist1","AICc","numparams","collinearity","identifiable","r","p","a","K","alpha"
4,"RICH",3,3,-5865.94108181203,4,6.29475318473218,TRUE,0.507791762577102,1,0.491184050475112,1055.18687116469,0.633989143028626
1,"GLM",3,3,-5864.98796576148,4,8.72072070023192,TRUE,0.675272271770979,0.866842162696362,1,1030.99652235573,0.680632861124184
2,"GRM",3,3,-5862.62248452157,5,60.764028633463,FALSE,0.508921157773659,0.987924366199104,0.538492300632115,1029.44225689541,0.639779086751202
5,"GOM",3,3,-5838.6305917787,3,15.8415818652584,TRUE,8.16047238582415,1,0.145723760048473,1,4.41665446249933
3,"LM",3,3,-5838.57510957026,3,2.04529205802899,TRUE,0.367675748554638,1,1,982.788154594185,2.54926082736416
0,"GGM",3,3,-5796.53867375086,3,8.16651881406175,TRUE,12.7850431312864,0.17747649448278,1,0,20.7218785718723
-1,"EXP",3,3,-5710.8990671206,2,NA,NA,0.167590661238049,1,1,0,40.9337079163988
