"flag1","model","method1","dist1","AICc","numparams","collinearity","identifiable","r","p","a","K","alpha"
1,"GLM",3,3,-67139.4147811782,4,5.48497499140646,TRUE,0.644744607108593,0.890436696454591,1,7211.0037140095,12.1766735455479
2,"GRM",3,3,-67138.6648159239,5,11.3390046402259,TRUE,0.821349301026243,0.83150782325239,1.44301994817381,7329.19502304039,13.1728005676401
5,"GOM",3,3,-67104.5871861864,3,7.07450311490562,TRUE,1.28794645550884,1,0.104082794883659,1,45.6446644234922
0,"GGM",3,3,-67084.8672290789,3,7.52092102815177,TRUE,14.7605598959778,0.331382154620283,1,0,107.980777803969
-1,"EXP",3,3,-66876.6785900142,2,NA,NA,0.214502959662433,1,1,0,216.624238604751
3,"LM",3,3,-66874.3310349856,3,1.89654054184631,TRUE,0.214506848952182,1,1,31594188.360123,216.615869318684
4,"RICH",3,3,-66183.2051897373,4,NA,NA,90,1,10,1,184.005394869554
