"flag1","model","method1","dist1","AICc","numparams","collinearity","identifiable","r","p","a","K","alpha"
1,"GLM",3,3,-67152.5580893468,4,5.48513874860213,TRUE,0.644781504002996,0.890434482420145,1,7212.0002321407,12.1910973879073
5,"GOM",3,3,-67117.7590732882,3,7.07455314996353,TRUE,1.2880104076133,1,0.104085995993523,1,45.6624854702267
0,"GGM",3,3,-67098.0511208124,3,7.52046427148039,TRUE,14.7557905875658,0.331435560198633,1,0,108.01398062656
2,"GRM",3,3,-67092.9186524161,5,7.52069091656016,TRUE,14.7582974422682,0.331415342373442,9.67823183164001,241686652.707153,108.022016904881
-1,"EXP",3,3,-66889.866669536,2,NA,NA,0.21450335363986,1,1,0,216.646594977202
3,"LM",3,3,-66887.571450597,3,1.8966746833415,TRUE,0.214571405870582,1,1,2671734.27247731,216.728127216187
4,"RICH",3,3,-66885.0235376622,4,NA,NA,0.214513304852196,1,10,702911405.591884,216.712861693599
