"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5,6,8,11,14
3,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,4,5,5,6,7,10,13,16
4,0,0,0,0,1,1,1,2,2,3,3,3,4,4,5,6,6,7,8,10,13,15.0249999999996,19
5,0,0,0,1,2,2,3,3,4,4,5,5,6,7,7,8,9,10,11,13,16,19,24
6,0,1,2,3,3,4,5,6,6,7,7,8,9,10,11,11,12,14,15,17,21,25,29
7,1,2,3,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,20,23,26,30,35
8,3,5,6,8,10,11,12,13,14,15,16,17,18,19,20,22,23,25,27,29,34,38,43.0100000000002
9,7,9,11,13,15,17,18,19,21,22,23,24,25,27,28,29,31,33,35,39,44,49,56
10,11,14,16,20,22,24,26,27,29,30,32,33,35,36,38,39,41,43,46,50,55,61,68.0100000000002
11,17,21,24,28,31,34,35,37,39,41,42,44,46,47,49,51,54,56,60,64,70,76,84.0100000000002
12,25,30,34,38,41,44,46,49,50,52,54,56,58,60,62,65,67,70,74,78,85,92,103
13,33,38,43,49,52,55,58,60,62,65,67,69,71,73,76,78,81,84,88,94,101,109,117.01
14,41,46,51,57,62,65,68,71,73,75.5999999999999,78,80,82.4500000000003,85,88,90,93,97,101,106,114,121,129
15,46,52,58,64,68,71,74.75,77,80,82,85,87,90,92,95,98,101,105,109,114,124,131,142
16,49,55,60,66,71,74,77,80,82,84,87,89,92,94,97,100,103,106,110,116,125,134,145
17,46,52,57,63,67,70,73,76,78,80,82,84,87,89,92,95,98,101,106,111.1,120,127,137
18,38,44,49,54,59,62,65,67,70,72,74,76,78,80,83,86,89,92,96,101,109,117,128
19,30,35,40,45,49,52,54,56,58,60,62,64,67,69,71,73,76,79,83,88,96,103.025,114
20,23,27,30,35,38,40,42,44,46,48,50,52,54,56,58,60,62,65,68,73,80,88,97
21,15,18,21,25,27,30,32,33,35,36,38,40,41,43,45,47,49,51,54,58,65,72.0249999999996,82
22,9,12,14,17,19,21,23,24,25,27,28,29,31,32,34,36,38,40,42,46,52,58,64
23,5,7,9,11,13,14,15,17,18,19,20,21,23,24,25,27,28,30,33,36,42,46.0249999999996,52
24,2,4,5,7,8,9,11,11,12,13,14,15,16,17,18,20,21,23,25,28,32,37,44
25,1,2,3,4,5,6,7,7,8,9,10,10,11,12,13,14,15,17,18,21,25,29,36
26,0,1,1,2,3,3,4,5,5,6,7,7,8,9,9,10,11,13,14,16,20,23,27
27,0,0,0,1,1,2,2,3,3,4,4,5,5,6,7,7,8,9,10,12,16,19,22
28,0,0,0,0,0,1,1,1,2,2,3,3,3,4,4,5,6,7,8,9,12,15,18
29,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,4,5,6,7,10,12,15
