"flag1","model","method1","dist1","AICc","numparams","collinearity","identifiable","r","p","a","K","alpha"
1,"GLM",3,3,-67152.5580893468,4,5.48513874860213,TRUE,0.644781504002996,0.890434482420145,1,7212.0002321407,12.1910973879073
5,"GOM",3,3,-67117.7590732882,3,7.07455314996353,TRUE,1.2880104076133,1,0.104085995993523,1,45.6624854702267
0,"GGM",3,3,-67098.0511196128,3,7.52064477643321,TRUE,14.7577919045752,0.331418055957386,1,0,108.000298150619
2,"GRM",3,3,-67092.9186528045,5,7.5205442712083,TRUE,14.7566322838885,0.331426733883143,3.87056377250701,652336277.880986,108.00657850233
-1,"EXP",3,3,-66889.866669536,2,NA,NA,0.21450335363986,1,1,0,216.646594977202
3,"LM",3,3,-66887.5153732432,3,1.86967139627114,TRUE,0.21450462894089,1,1,140610698.76933,216.648001751256
4,"RICH",3,3,-66885.0235322854,4,NA,NA,0.21450335811868,1,6.97828418961362,142646711.497963,216.646215282379
