"flag1","model","method1","dist1","AICc","numparams","collinearity","identifiable","r","p","a","K","alpha"
4,"RICH",0,0,450.995469740403,4,3.15044898665258,TRUE,0.421694744152764,1,0.695996966939527,6866.80492143254,0
2,"GRM",0,0,453.637180970336,5,18.6908661673259,TRUE,0.421694742699409,1,0.695996961081079,6866.80535949045,0
1,"GLM",0,0,456.112589120028,4,133.968723042598,FALSE,0.52841870977578,0.935405265348487,1,7211.72942135279,0
3,"LM",0,0,461.539411451164,3,2.07911408447218,TRUE,0.390910090520018,1,1,6196.99581493189,0
5,"GOM",0,0,515.221262809039,3,7.09024373927461,TRUE,1.30635855165324,1,0.104350992572462,1,0
0,"GGM",0,0,547.624843661225,3,7.71007280717508,TRUE,17.0099614098137,0.315673859552852,1,0,0
-1,"EXP",0,0,580.978864082684,2,NA,NA,0.0475,1,1,0,0
