"forecast_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,0,0,0,0,0,0,0.147526804691669,1.47582614715191,2.79777044934374,3.87322715840421,4.95446803838207,6.03091110926607,7.082294318453,8.15683334949313,9.33344758787181,10.5500629926434,11.8577061725447,13.2831105756798,14.8131598180328,16.6704227879245,19.7432110977597,22.6378139543747,25.5933140073454
2,0,0,0,0,0,0,0,0.28056196260328,1.48121148489395,2.51263911993419,3.55301008926839,4.56392768385263,5.62079973043638,6.6655928884098,7.88104144800215,9.14032677343087,10.4732879438318,11.9001298240602,13.4824883574553,15.5753048745532,18.5564432528212,21.4298728641837,24.018359503067
3,0,0,0,0,0,0,0,0,0.724526754110724,1.75197289856277,2.86176121619354,3.85020773870541,4.90793956619769,6.02819972085382,7.20967550990815,8.4515739039271,9.67175714284771,11.1169363979327,12.7321504135418,14.7534313304117,17.839438799198,20.5341937424667,23.7868558224345
