"forecast_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,0,0,0,0,0,0,0,0,0,0,0,1.38444106879883,2.88667172945402,4.63209249108503,6.2221257132422,8.22641416592344,10.096287783309,11.9742260044163,14.5937816797519,17.6065871372043,22.0967022399689,26.1779417594427,30.5290096963812
2,0,0,0,0,0,0,0,0,0,0,0,0.806389401017273,2.44545738594913,3.94282628301337,5.67491289951663,7.50809127614417,9.51339649110025,11.6463361644891,13.9852241825999,17.354218373413,21.7141703671467,25.5213041238028,30.1319012226708
3,0,0,0,0,0,0,0,0,0,0,0,0.766859328713074,2.26400117210335,3.86251734501405,5.34859976093967,7.14729264986605,8.90793805084196,11.0709474133481,13.7400512414586,16.9784574858092,21.9208444415035,26.1817127898958,30.5748403737341
