"forecast_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,0,0,0,0,0,0,0,0.963853330549682,2.11537474978672,3.29972518875238,4.4368481764614,5.54625111296502,6.60036034789108,7.67491781824689,8.8814268552821,10.1567724588049,11.6138083461436,13.252659206618,14.993085806836,17.0425274869726,20.4269763592267,22.8848014012739,26.3464384605185
2,0,0,0,0,0,0,0,0.216530412358928,1.4245717778952,2.53717617690499,3.58593228881158,4.74478564807677,5.81514466453812,6.79677842602616,8.05053367583255,9.25408555975405,10.557124620977,12.1603801317134,13.8521412429231,15.8259276912676,19.0717975196308,22.1075716016633,25.9586927062295
3,0,0,0,0,0,0,0,0,0.296122416862337,1.49725315300595,2.59146488897818,3.80523478537642,4.91678279621321,6.06949102177563,7.11853172520913,8.4328927601241,9.79485941274721,11.2523606765091,12.9988770629242,15.253161941454,18.348445390181,20.9333087852898,23.8076713421382
