"forecast_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,0,0,0,0,0,0,0,0,0,0.587684984903539,6.54546584026017,12.3721178961688,18.2275267455614,24.3721014765808,30.6537623930354,37.7597834858644,45.0153436150796,53.2206393848553,62.7676199343325,74.2042211838819,92.1229663940869,107.669491485195,125.703870842875
2,0,0,0,0,0,0,0,0,0,0,4.70962465369467,11.133082534021,16.9939987995025,23.3392208952279,29.8367292905617,36.8208350727794,43.4060388723547,51.2849254897628,60.7367788300266,72.6861612023711,92.093181990056,107.102586833346,122.903395464262
3,0,0,0,0,0,0,0,0,0,0,0,5.56868688535685,11.5552920770709,18.0363847520489,23.900063187638,31.2115692280674,37.9627967847377,46.2112480940416,56.3042353493827,68.3179787040608,86.8610890892794,104.398331724991,123.279794176282
