0	1
1	1
2	6
3	7
4	12
5	19
6	28
7	69
8	131
9	241
10	262
11	267
12	322
13	223
14	270
15	248
16	168
17	155
18	196
19	206
20	246
21	209
22	178
23	198
24	169
25	149
26	103
27	137
28	105
29	100
30	76
31	95
32	93
33	91
34	101
35	78
36	98
37	66
38	82
39	71
40	79
41	59
42	96
43	141
44	146
45	216
46	241
47	261
48	276
49	474
50	544
51	710
52	924
53	1216
54	1542
55	1171
56	1143
57	1083
58	821
59	761
60	590
61	489
62	539
63	465
64	463
65	355
66	340
67	327
68	347
69	254
70	206
71	189
72	163
73	157
74	195
75	181
76	138
