i_th doubling,db mean,db 95%CI LB,db 95% CI UB,prob. i_th doubling
1,1.28823333333333,1.14,1.44,1
2,1.4934,1.31,1.64,1
3,1.63873333333333,1.57,1.74,1
4,1.8681,1.76,1.94,1
5,2.1777,2.09,2.26,1
6,2.75293333333333,2.6,2.89,1
7,4.33443333333333,3.9,4.77,1
