time,data,median,LB,UB
16,5,5,5,5
17,1,3,0,9
18,11,5,1,12
19,8,8,2,16
20,13,11,4,21
21,11,16,7,27.5
22,14,22,11,36
23,27,29,16,45
24,41,37,23,54
25,40,46,30,65
26,65,55,37,75
27,85,63,45,85
28,85,70,51,93
29,61,75,54,99
30,82,76,55,101
31,63,74,54,99
32,77,70,50,93
33,46,63,45,86
34,49,55,38,76
35,54,47,32,66
36,46,39,25,57
37,46,32,19,49
38,22,26,14,41
39,25,21,11,34
40,18,16,7,28
41,16,13,5,24
42,11,10,3,20
43,3,8,2,16
44,6,6,1,13
45,3,4,0,12
46,8,3,0,10
47,3,3,0,8
