"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,11,20
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,15,26
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,9,14,21,33
5,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,7,10,13,21.0500000000002,30,43
6,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7.30000000000018,9,12,15,20,28,40,56
7,0,0,0,0,1,1,2,2,3,4,5,6,7,9,10,12,15,18,21,27,39,51,66
8,0,0,0,1,2,3,4,6,7,8,9,11,13,15,17,19,22,26,31,37,50,62,79.0200000000004
9,0,1,2,4,6,7,9,11,12,14,16,18,21,23,25,28,32,36,41,49,62,75,94
10,2,3,6,9,11,14,16,18,21,23,25,28,30,33,36,40,44,49,55,64,80,99,123
11,4,8,11,16,20,23,26,29,32,35,37.5500000000002,40,44,47,51,55,60,66,72,83,99.0500000000002,116.025,138
12,11,15,20,26,31,35,38.75,42,46,50,53,57,61,65,70,75,80,88,96,108,128,149.025,178
13,20,26,33,41,47,52,57,61,66,70,74,79,83,88,94,100,107,115,123.15,136,158,182,212.01
14,34,42,50,59,68,74,80,85,90,95,100,104,109,115,121,127,134,143,154,169,195,217,245
15,52.99,62,71,84,94,101,106,113,119,125,131,137,143,149,156,163,172,182,195,212,240,267,300.01
16,76,89,100,115,126,135,142,149,156,162,169,175,181,188,196,204,214,225,238,255,285,316,357
17,103,117,131,148,161,171,180,187.7,195,203,209,216,223,232,241,250,259,271,285,305,336.05,367,406
18,134,152,168.95,189,204,215,224,233,242,251,259,267,275,284,291.35,302,313,325,340,361,394,430.025,482
19,161,186,206,229,244,256,266,277,285,294,302.55,311,320,329,339,349,361,374,392,414,450,480.025,517.01
20,197,223,244,268,285,298,309,321,331,340,351,360,369,379,389,400,412,426,443.15,466,501,532,575.01
21,227.99,253,278,304,322,334,348,360,370,380,390,399,410,420,431,442,454,469,489,511.1,550.05,588,637.02
22,245.99,270,297,329,348,365,378,391,403,414,424,434,444,455,467,479,493,510,528,552,589,624,668
23,253,283,310,343,365,383,396,410,421,433,443,453.5,466,476,488,501,514,529,550,575,616,650,689
24,261,288,316,348,370,386,402,414,428,439,451,462,473,485,495,508,523,539.2,558,581,623,658,698
25,249,284,310,342,363,381,395,408,421,431,443,454,464,476,488,500,514,529,549,574.1,615,649.025,696.01
26,236.99,266,290,323,343,360,375,387,400,411,421,432,443,454,465,477,490,506,525,550,583,620.025,665.02
27,222,249,273,302,321,337,349.75,361,372,382,392,404,414,424,435,446,459,473,491,515,552,590,631
28,197,221,243,268,287,302,315,327,337,347,357,366,376,386,397,408,421,434,452,473,512,545.025,586
29,169.99,192,213,237,252,264,276,286,296.65,306,315,325,334,344,353.35,363,375,387,403.15,426,462,493,530.02
30,146,163,178,200,215,227,236,246,254,262,270,279,287,296,306,316,327,339,354,375,409,439,477.02
31,118,134,147,166,180,191,200,210,217,225,232,240.5,248,256,264,273,283,295,308,330,359.05,389,429
32,92,105,120,135,146,156,163,172,180,188,194,201,209,216,225,234,243,254,267,285,315.05,345,382
33,68,82,94.95,109,119,128,135,142,148.65,155,161,168,175,181,188,196,206,216,229,245,269,296.025,331.02
34,51,61.975,73,84,94,101,108,114,120,126,131,137,143,149,155,162,170,179,190,207,237,262,291.01
35,35,45,54,65,73,80,85,91,96,102,107,112,117,123,128.35,136,143,153,163,178,203,228.025,260
36,26,32,40,50,56,62,67,72,77,81,86,91,95,100,105,112,118,126,136,149,174,199,231.01
37,17,22,28,35,41,47,51,56,60,63,68,72,76,81,86,92,98,106,114,127,148.05,172,203.01
38,11,16,21,27,31,35,39,43,46,50,54,57,61,65,69,75,80,87,94,107,127,148,176.01
39,7,10,13,18,22,26,29,32,35,39,42,45,49,52,57,61,66,73,80,92,110,129,158.01
40,3,5,8,12,15.85,18,21,24,26,29,32,35,38,41,45,49,54,60,67,77,96,116,143
