"forecast_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,118.99,175,229,312.9,379,438.8,500,552.7,600.65,658,715.55,769,830,886.4,953,1033,1124.25,1240,1371,1565.1,1864,2200.075,2606.04
2,170.98,246.975,319,413,495.85,562,622,675,738.65,798.6,852.55,916,981.45,1060,1135.35,1224,1326,1448,1596.15,1816.1,2159.1,2470.075,2980
3,252,333.975,433,553,638,718,789.75,862,939,1005,1074,1138.5,1215,1290,1374,1484,1585.25,1712,1871,2092,2468.05,2821.175,3284.08
